year,fuel,Avg_Price,Avg_Mileage,Avg_CC,Avg_max_power,Avg_Torque
1994,Diesel,99000.0000,12.8,1995,52,106
1994,Petrol,45000.0000,16.1,796,37,59
1995,Petrol,55000.0000,16.1,796,37,59
1996,Petrol,41000.0000,16.1,796,37,59
1997,Petrol,86111.0000,16.066666666666666,929.4444444444445,49.666666666666664,71.66666666666667
1998,Petrol,57888.8889,15.933333333333334,950.7777777777778,48.888888888888886,66.34444444444445
1999,Diesel,151666.6667,14.800000000000002,1998,68,12.5
1999,Petrol,56545.4545,16.281818181818185,923.0909090909091,49.90909090909091,71.72727272727273
2000,CNG,80000.0000,10.9,796,0,0
2000,Diesel,106666.6667,13.266666666666666,1811.6666666666667,57.166666666666664,32.46666666666667
2000,Petrol,68909.5000,17.599999999999998,828.8333333333334,45.82500000000001,64.91666666666667
2001,Petrol,46500.0000,16.7,828.8333333333334,43.5,64.16666666666667
2002,Diesel,148666.3333,15.990000000000002,2309.6666666666665,72.03333333333333,396.6666666666667
2002,Petrol,95375.0000,16.39125,976.5,55.98125,63.0375
2003,Diesel,147800.0000,13.940000000000001,1960.5,88.46000000000001,254.73000000000002
2003,Petrol,84451.7778,16.459259259259255,1059.037037037037,61.55925925925924,64.49259259259259
2004,Diesel,128000.0000,14.969999999999999,1712.4,79.4,106.4
2004,Petrol,104874.5122,16.192682926829264,1140.3170731707316,68.89756097560974,66.45121951219512
2005,Diesel,227318.1818,13.672727272727274,2097.6363636363635,89.32272727272726,108.23636363636366
2005,Petrol,109712.9444,16.868518518518506,1146.6666666666667,72.34259259259257,71.21481481481482
2006,Diesel,245149.9667,14.370333333333338,2025.8333333333333,91.60999999999999,119.27000000000001
2006,LPG,110000.0000,17.3,1061,57.5,7.8
2006,Petrol,139755.6197,16.920281690140854,1221.7323943661972,76.41830985915496,56.63239436619718
2007,Diesel,233868.9589,15.793561643835618,1924.1917808219177,91.30273972602743,106.40547945205472
2007,LPG,88750.0000,15.375,978.25,51.95,40.25000000000001
2007,Petrol,141229.1563,17.290000000000017,1129.59375,69.42281250000006,67.91020833333333
2008,CNG,120000.0000,13.2,1495,94,12.5
2008,Diesel,267255.5444,15.568222222222207,1841.4,93.23555555555556,131.10666666666663
2008,LPG,155666.6667,17.066666666666666,972.6666666666666,50.166666666666664,7.1000000000000005
2008,Petrol,155864.6449,17.378785046728975,1176.271028037383,71.73308411214958,69.63906542056074
2009,Diesel,281602.0000,16.424591836734688,1742.408163265306,91.7524489795918,158.08979591836732
2009,Petrol,189909.7218,17.443308270676706,1184.0526315789473,77.08601503759408,92.95278195488721
2010,CNG,188333.3333,20.476666666666667,1292.3333333333333,78.46666666666665,110.5
2010,Diesel,338312.7989,17.16491620111733,1746.0614525139665,95.82011173184355,165.65921787709505
2010,LPG,182777.7778,19.23333333333333,1057.3333333333333,60.111111111111114,76.61111111111111
2010,Petrol,217315.1957,17.701739130434795,1155.5,75.82548913043478,92.75478260869563
2011,CNG,198500.0000,19.87,1069.5,65.1,91.025
2011,Diesel,375165.6989,17.93328729281768,1750.3812154696132,95.83908839778998,193.07071823204424
2011,LPG,235250.0000,19.825,1042,60.150000000000006,86.55
2011,Petrol,230249.9650,18.121749999999984,1153.325,74.49485,94.31379999999999
2012,CNG,221400.0000,23.726,1056.2,59.86,83.5
2012,Diesel,395171.9459,19.25117936117937,1639.1203931203931,92.30459459459449,202.5805896805895
2012,LPG,263800.0000,20.154999999999998,1023.3,61.93000000000001,79.888
2012,Petrol,274984.8995,18.628442211055265,1142.2261306532664,76.64718592964816,99.5166834170854
2013,CNG,219666.6667,29.860000000000003,930.6666666666666,54.596666666666664,74.66666666666667
2013,Diesel,536099.9435,19.332021739130376,1708.8695652173913,94.21363043478244,217.48926086956507
2013,LPG,275000.0000,16.8,1042,64.875,92.02000000000001
2013,Petrol,295118.1921,19.083645320197036,1132.8423645320197,76.78389162561565,104.20359605911331
2014,CNG,351250.0000,23.245,1190.75,68.17500000000001,92
2014,Diesel,602842.9324,19.722028985507244,1728.1376811594203,97.81842995169073,228.3707246376811
2014,Petrol,343351.4158,19.654158415841557,1091.069306930693,74.2605445544554,101.78019801980201
2015,CNG,267500.0000,22.82,1194.5,58.465,87.5
2015,Diesel,695770.7343,20.384219066937113,1693.7545638945232,100.90198782961471,231.65300202839768
2015,LPG,337500.0000,16.325,1086,65.075,97.57
2015,Petrol,425438.8022,19.705179856115066,1146.769784172662,78.51294964028776,106.96985611510794
2016,CNG,323333.3333,25.046666666666667,1064,59.55666666666667,79.33333333333333
2016,Diesel,824954.8290,20.910190023753014,1618.997624703088,100.80428741092645,234.18541567695976
2016,Petrol,583277.3636,19.620862470862477,1259.2400932400933,84.91020979020958,116.37477855477859
2017,CNG,371111.1111,24.771111111111107,1085.5555555555557,58.28666666666666,79.33333333333333
2017,Diesel,1116764.4745,21.540123022847112,1584.0263620386643,108.01699472759222,253.00528998242547
2017,Petrol,602583.2917,19.89372685185188,1209.1342592592594,83.94384259259272,114.21740740740745
2018,CNG,414999.8000,25.668,1037.6,58.867999999999995,78.6
2018,Diesel,1305830.4545,21.71061425061421,1642.5135135135135,110.00933660933669,256.0048157248158
2018,Petrol,605959.3553,20.257258883248763,1163.6598984771574,81.92708121827395,112.64855329949242
2019,CNG,401714.1429,27.365714285714283,1025.142857142857,54.59428571428571,75.71428571428571
2019,Diesel,2768593.7411,19.36598214285715,1781.517857142857,140.2381249999999,310.94683035714286
2019,Petrol,1173312.4631,20.121988636363653,1317.5823863636363,98.66147727272715,126.98335227272727
2020,CNG,392999.6667,25.27333333333333,1062.6666666666667,56.9,79.66666666666667
2020,Diesel,1689700.0000,18.6795,1820.85,123.54400000000001,292.13
2020,Petrol,598764.6667,19.96549019607844,1196.8431372549019,84.07431372549021,120.6778431372549
2021,Diesel,1463500.0000,15.765,2595.5,223.69,535
2021,Petrol,1107000.0000,20.572,1128.6,94.098,141.8
2022,Diesel,1736000.0000,22.335,1224.5,99.66499999999999,164
2022,Petrol,905800.0000,16.972,1429.4,155.62,242.6
2023,Diesel,5800000.0000,18.15,998,118.35,172
2023,Electric,2650000.0000,32.52,998,58.33,78
2023,Petrol,731250.0000,16.072499999999998,1351.25,112.6725,198
